Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/01 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;9.00)=,77,82,2392,2404,2421,2446,2479,2534,6781,4387
 01/09 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,51,53,54,56,59,64,68,76,85,74
(11.00;1.89)=,52,54,56,59,64,72,82,102,141,183
(11.00;2.78)=,53,55,58,63,70,82,101,144,250,515
(11.00;3.67)=,54,57,61,67,77,94,123,193,379,13936
(11.00;4.56)=,56,59,63,71,83,106,145,238,6531,6857
(11.00;5.44)=,57,60,65,74,89,116,161,264,6556,6859
(11.00;6.33)=,57,61,67,77,93,122,169,270,6555,6853
(11.00;7.22)=,58,62,68,78,94,122,167,260,6530,6821
(11.00;8.11)=,58,62,68,78,93,117,156,233,6462,6662
(11.00;9.00)=,58,62,68,76,89,108,138,189,6343,6305
 01/09 11:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,28,29,30,32,35,39,43,51,60,51
(11.00;1.89)=,28,30,31,34,38,45,54,72,107,145
(11.00;2.78)=,29,31,33,37,42,52,67,101,183,375
(11.00;3.67)=,30,32,34,39,47,60,81,132,262,8161
(11.00;4.56)=,30,32,36,41,50,67,94,157,312,577
(11.00;5.44)=,31,33,37,43,53,72,102,171,331,580
(11.00;6.33)=,31,34,38,44,55,74,105,174,330,573
(11.00;7.22)=,31,34,38,44,55,73,102,165,308,542
(11.00;8.11)=,31,34,38,43,53,69,94,145,255,412
(11.00;9.00)=,31,33,37,42,50,63,81,115,175,176
 01/09 12:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,14,15,17,19,21,26,30,38,48,39
(11.00;1.89)=,15,16,18,20,24,31,39,56,89,126
(11.00;2.78)=,15,17,19,22,28,37,49,79,147,292
(11.00;3.67)=,16,18,20,24,30,42,59,100,198,395
(11.00;4.56)=,16,18,21,25,33,46,67,115,228,420
(11.00;5.44)=,16,18,21,26,34,48,71,122,239,423
(11.00;6.33)=,17,19,22,26,34,48,71,121,235,417
(11.00;7.22)=,16,18,21,26,33,46,67,111,213,385
(11.00;8.11)=,16,18,21,25,31,43,59,94,167,271
(11.00;9.00)=,16,18,20,24,29,37,50,72,109,110
 01/09 13:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,12,13,14,16,19,24,28,37,47,37
(11.00;1.89)=,13,14,15,18,22,28,37,54,86,122
(11.00;2.78)=,13,14,16,20,25,33,45,72,133,249
(11.00;3.67)=,13,15,17,21,27,37,52,88,168,315
(11.00;4.56)=,13,15,18,22,28,40,57,97,187,331
(11.00;5.44)=,13,15,18,22,29,41,59,100,192,333
(11.00;6.33)=,13,15,18,21,28,40,57,97,185,327
(11.00;7.22)=,13,15,17,21,27,37,52,86,162,294
(11.00;8.11)=,13,14,16,20,24,33,45,69,120,189
(11.00;9.00)=,13,14,16,18,22,28,36,51,75,73
 01/09 14:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,11,12,13,16,18,23,28,36,46,36
(11.00;1.89)=,11,13,14,17,21,27,36,53,84,120
(11.00;2.78)=,12,13,15,18,23,32,43,69,125,224
(11.00;3.67)=,12,13,16,19,25,35,49,82,152,269
(11.00;4.56)=,12,14,16,20,26,37,53,88,165,280
(11.00;5.44)=,12,14,16,20,26,37,53,89,167,281
(11.00;6.33)=,12,13,16,19,25,35,50,84,158,275
(11.00;7.22)=,12,13,15,18,23,32,44,72,133,241
(11.00;8.11)=,11,12,14,17,21,27,36,55,93,141
(11.00;9.00)=,11,12,13,15,18,23,29,39,55,51
 01/09 15:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,9,10,11,13,16,20,24,32,41,32
(11.00;1.89)=,9,11,12,15,18,24,32,48,77,109
(11.00;2.78)=,10,11,13,16,20,28,39,62,112,195
(11.00;3.67)=,10,11,13,17,22,31,44,72,132,226
(11.00;4.56)=,10,11,14,17,23,32,46,77,141,233
(11.00;5.44)=,10,11,13,17,22,32,45,76,141,233
(11.00;6.33)=,10,11,13,16,21,30,42,71,132,228
(11.00;7.22)=,9,10,12,15,19,26,36,59,109,197
(11.00;8.11)=,9,10,11,13,17,22,29,43,71,105
(11.00;9.00)=,9,9,10,12,14,18,22,29,39,34
 01/09 16:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,6,7,8,10,12,16,20,26,34,25
(11.00;1.89)=,7,8,9,11,15,20,26,40,65,92
(11.00;2.78)=,7,8,10,12,16,23,32,53,95,164
(11.00;3.67)=,7,8,10,13,18,26,36,61,111,186
(11.00;4.56)=,7,8,10,13,18,26,38,64,117,190
(11.00;5.44)=,7,8,10,13,18,26,37,63,117,190
(11.00;6.33)=,7,8,10,12,17,24,34,58,109,186
(11.00;7.22)=,7,8,9,11,15,21,29,47,88,160
(11.00;8.11)=,6,7,8,10,13,17,22,34,55,79
(11.00;9.00)=,6,6,7,9,10,13,16,21,28,23
 01/09 17:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,1,2,2,2,3,4,5,6,8,6
(11.00;1.89)=,1,2,2,3,3,5,6,9,16,22
(11.00;2.78)=,1,2,2,3,4,5,8,13,23,40
(11.00;3.67)=,1,2,2,3,4,6,9,15,27,45
(11.00;4.56)=,2,2,2,3,4,6,9,15,28,46
(11.00;5.44)=,1,2,2,3,4,6,9,15,28,46
(11.00;6.33)=,1,2,2,3,4,6,8,14,26,45
(11.00;7.22)=,1,2,2,2,3,5,7,11,21,38
(11.00;8.11)=,1,1,2,2,3,4,5,8,13,18
(11.00;9.00)=,1,1,2,2,2,3,4,5,6,5
Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/10 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,9,10,10,11,12,14,15,18,21,17
(11.00;1.89)=,10,10,11,12,14,17,20,27,40,53
(11.00;2.78)=,10,11,12,13,16,20,26,40,73,538
(11.00;3.67)=,10,11,12,15,18,24,34,56,504,569
(11.00;4.56)=,11,12,13,16,20,29,440,466,515,573
(11.00;5.44)=,11,12,14,17,22,431,443,470,517,573
(11.00;6.33)=,11,13,15,18,423,432,444,469,515,571
(11.00;7.22)=,12,13,414,417,422,431,441,463,505,560
(11.00;8.11)=,12,13,414,417,421,428,437,454,482,509
(11.00;9.00)=,12,13,413,416,419,425,430,439,447,29
 01/10 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,65,66,68,70,73,78,82,90,98,85
(11.00;1.89)=,66,68,70,74,79,88,99,121,162,203
(11.00;2.78)=,67,70,73,79,87,102,124,175,302,2912
(11.00;3.67)=,69,72,77,84,97,120,156,247,2776,7286
(11.00;4.56)=,71,75,81,91,108,139,2499,2616,7018,7309
(11.00;5.44)=,73,77,85,97,118,2466,2523,2644,7037,7311
(11.00;6.33)=,74,80,88,102,2434,2474,2531,2648,7033,7305
(11.00;7.22)=,76,82,2400,2414,2436,2474,2527,2635,7006,7274
(11.00;8.11)=,76,83,2400,2414,2434,2467,2512,2601,6925,7095
(11.00;9.00)=,77,82,2399,2411,2428,2454,2486,2542,6770,4369
 01/10 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,52,53,55,57,61,66,71,80,90,77
(11.00;1.89)=,53,55,57,61,66,75,86,109,153,200
(11.00;2.78)=,54,56,60,65,73,87,107,156,276,575
(11.00;3.67)=,55,58,62,69,80,100,133,212,422,13676
(11.00;4.56)=,56,60,65,73,88,114,157,262,6451,6820
(11.00;5.44)=,58,61,68,77,94,125,176,291,6480,6821
(11.00;6.33)=,59,63,69,80,98,131,184,298,6478,6815
(11.00;7.22)=,59,64,71,82,100,131,182,287,6450,6779
(11.00;8.11)=,60,64,71,81,98,126,170,256,6374,6600
(11.00;9.00)=,60,64,70,79,94,116,149,207,6240,6197
 01/10 11:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,27,29,30,32,35,40,45,53,63,53
(11.00;1.89)=,28,30,32,35,39,47,56,76,114,156
(11.00;2.78)=,29,31,33,37,44,55,71,108,198,407
(11.00;3.67)=,30,32,35,40,48,63,86,142,283,7852
(11.00;4.56)=,30,33,36,42,52,70,100,169,338,628
(11.00;5.44)=,31,34,38,44,55,76,109,184,359,631
(11.00;6.33)=,31,34,38,45,57,78,112,187,358,624
(11.00;7.22)=,31,34,39,46,57,77,109,178,334,589
(11.00;8.11)=,31,34,38,45,55,73,100,155,276,447
(11.00;9.00)=,31,34,38,43,52,66,86,123,188,189
 01/10 12:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,16,18,19,22,26,31,37,48,60,48
(11.00;1.89)=,17,19,21,24,30,38,49,72,115,163
(11.00;2.78)=,18,20,22,27,34,45,62,101,190,380
(11.00;3.67)=,18,20,24,29,37,52,75,128,257,514
(11.00;4.56)=,19,21,25,31,40,58,85,148,295,546
(11.00;5.44)=,19,22,25,32,42,61,90,157,310,550
(11.00;6.33)=,19,22,26,32,42,61,90,156,304,542
(11.00;7.22)=,19,22,25,31,41,58,85,143,275,500
(11.00;8.11)=,19,21,25,30,39,53,75,120,216,351
(11.00;9.00)=,19,21,24,28,35,46,62,91,140,141
 01/10 13:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,15,17,19,22,26,32,39,52,67,53
(11.00;1.89)=,16,18,20,24,30,39,52,77,125,178
(11.00;2.78)=,16,18,22,26,34,47,64,105,195,368
(11.00;3.67)=,17,19,23,28,37,53,75,128,248,466
(11.00;4.56)=,17,20,23,29,39,56,82,142,276,490
(11.00;5.44)=,17,20,24,30,40,58,85,147,284,494
(11.00;6.33)=,17,20,23,29,39,56,82,141,273,485
(11.00;7.22)=,17,19,23,28,37,52,75,125,239,435
(11.00;8.11)=,16,19,22,26,34,46,64,100,176,279
(11.00;9.00)=,16,18,20,24,30,39,51,73,109,106
 01/10 14:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,12,14,15,18,22,27,33,43,56,44
(11.00;1.89)=,13,14,17,20,25,33,43,64,103,147
(11.00;2.78)=,13,15,18,21,28,38,52,84,154,276
(11.00;3.67)=,14,15,18,23,30,42,60,100,187,332
(11.00;4.56)=,14,16,19,23,31,44,64,108,203,346
(11.00;5.44)=,14,16,18,23,31,44,64,109,205,347
(11.00;6.33)=,13,15,18,22,29,42,60,102,194,339
(11.00;7.22)=,13,15,17,21,27,38,53,87,164,298
(11.00;8.11)=,13,14,16,19,24,32,44,67,114,174
(11.00;9.00)=,12,13,15,18,21,27,34,47,67,62
 01/10 15:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,10,11,12,14,17,22,26,35,45,34
(11.00;1.89)=,10,11,13,16,20,26,35,52,84,119
(11.00;2.78)=,10,12,14,17,22,31,42,68,122,213
(11.00;3.67)=,10,12,14,18,24,34,48,79,145,247
(11.00;4.56)=,11,12,15,18,24,35,50,84,154,254
(11.00;5.44)=,10,12,14,18,24,34,49,83,154,255
(11.00;6.33)=,10,12,14,17,23,32,46,77,144,249
(11.00;7.22)=,10,11,13,16,20,28,39,64,119,215
(11.00;8.11)=,9,11,12,14,18,24,31,47,78,115
(11.00;9.00)=,9,10,11,13,15,19,24,32,43,37
 01/10 16:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,7,7,9,10,13,16,20,27,34,26
(11.00;1.89)=,7,8,9,12,15,20,27,41,66,94
(11.00;2.78)=,7,8,10,13,17,24,33,54,97,168
(11.00;3.67)=,7,9,10,13,18,26,37,62,114,190
(11.00;4.56)=,7,9,11,14,19,27,39,66,120,195
(11.00;5.44)=,7,8,10,13,18,27,38,65,119,195
(11.00;6.33)=,7,8,10,13,17,24,35,59,111,190
(11.00;7.22)=,7,8,9,11,15,21,29,49,90,163
(11.00;8.11)=,6,7,8,10,13,17,23,34,56,81
(11.00;9.00)=,6,7,8,9,11,13,17,22,29,23
 01/10 17:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,1,2,2,2,3,4,5,7,9,6
(11.00;1.89)=,2,2,2,3,4,5,7,11,18,25
(11.00;2.78)=,2,2,2,3,4,6,9,14,26,45
(11.00;3.67)=,2,2,3,3,5,7,10,16,30,50
(11.00;4.56)=,2,2,3,3,5,7,10,17,32,51
(11.00;5.44)=,2,2,2,3,5,7,10,17,31,51
(11.00;6.33)=,2,2,2,3,4,6,9,16,29,50
(11.00;7.22)=,1,2,2,3,4,5,8,13,24,43
(11.00;8.11)=,1,2,2,2,3,4,6,9,14,21
(11.00;9.00)=,1,1,2,2,3,3,4,5,7,6
Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/11 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,8,8,9,10,12,14,17,21,25,18
(11.00;1.89)=,8,9,10,12,15,19,25,36,56,76
(11.00;2.78)=,9,10,12,14,19,26,36,61,120,389
(11.00;3.67)=,10,11,14,17,23,35,52,95,330,454
(11.00;4.56)=,11,12,15,20,29,44,208,260,354,462
(11.00;5.44)=,11,14,17,23,34,193,218,269,359,462
(11.00;6.33)=,12,15,19,26,177,196,220,268,356,460
(11.00;7.22)=,13,16,160,167,178,195,217,261,342,443
(11.00;8.11)=,13,17,161,167,176,191,209,244,303,358
(11.00;9.00)=,14,16,160,165,173,184,196,216,232,49
 01/11 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,44,46,49,52,58,66,74,88,102,79
(11.00;1.89)=,46,49,53,60,69,84,104,146,226,312
(11.00;2.78)=,49,53,59,69,84,111,152,250,501,2084
(11.00;3.67)=,52,58,66,80,103,145,215,390,1793,4162
(11.00;4.56)=,55,63,74,92,124,183,1245,1472,3607,4206
(11.00;5.44)=,59,68,82,104,144,1180,1291,1528,3645,4209
(11.00;6.33)=,62,72,89,115,1122,1197,1309,1537,3640,4201
(11.00;7.22)=,65,76,1056,1083,1127,1199,1303,1514,3589,4143
(11.00;8.11)=,67,79,1057,1083,1122,1186,1276,1450,3434,3785
(11.00;9.00)=,68,79,1056,1078,1111,1161,1227,1336,3125,1981
 01/11 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,34,36,39,43,49,57,68,84,105,80
(11.00;1.89)=,36,39,43,49,58,73,95,141,238,357
(11.00;2.78)=,38,42,47,56,69,93,133,226,477,1103
(11.00;3.67)=,40,45,52,63,82,116,176,322,727,5512
(11.00;4.56)=,42,47,56,70,94,137,216,403,2720,3463
(11.00;5.44)=,43,50,60,76,103,154,245,449,2765,3466
(11.00;6.33)=,45,52,63,80,110,163,257,457,2761,3456
(11.00;7.22)=,46,53,64,82,111,162,250,433,2702,3384
(11.00;8.11)=,46,53,64,81,108,152,227,374,2543,2979
(11.00;9.00)=,46,53,63,77,100,135,190,285,2290,2221
 01/11 11:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,27,29,32,36,42,51,62,80,103,77
(11.00;1.89)=,29,32,36,42,51,66,89,135,237,366
(11.00;2.78)=,31,34,39,48,61,83,123,212,454,1043
(11.00;3.67)=,32,37,43,53,71,102,157,289,649,3902
(11.00;4.56)=,34,39,46,59,79,117,186,346,762,1507
(11.00;5.44)=,35,40,49,63,86,128,204,377,804,1512
(11.00;6.33)=,35,41,50,65,89,132,210,381,800,1501
(11.00;7.22)=,36,42,51,65,88,129,201,357,740,1423
(11.00;8.11)=,36,41,50,63,83,118,179,300,584,1011
(11.00;9.00)=,35,40,48,59,76,103,147,223,362,356
 01/11 12:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,19,20,23,26,31,38,49,65,88,66
(11.00;1.89)=,20,22,25,30,38,50,72,115,217,361
(11.00;2.78)=,21,24,28,35,45,64,99,178,404,940
(11.00;3.67)=,22,26,31,39,52,76,124,233,537,1167
(11.00;4.56)=,23,27,33,42,58,86,142,266,597,1202
(11.00;5.44)=,24,28,34,44,61,91,150,280,616,1206
(11.00;6.33)=,24,28,34,44,61,91,149,275,604,1197
(11.00;7.22)=,24,28,34,43,58,85,137,248,543,1120
(11.00;8.11)=,23,27,32,40,53,75,115,196,394,705
(11.00;9.00)=,22,26,30,37,47,62,88,133,211,193
 01/11 13:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,18,20,22,25,30,36,47,62,84,63
(11.00;1.89)=,19,22,25,29,36,48,69,110,206,341
(11.00;2.78)=,21,23,27,34,44,61,95,171,386,895
(11.00;3.67)=,22,25,30,38,51,74,119,224,514,1113
(11.00;4.56)=,23,26,32,41,56,83,137,256,572,1148
(11.00;5.44)=,23,27,33,43,59,88,145,270,590,1152
(11.00;6.33)=,23,28,34,43,60,88,144,265,580,1143
(11.00;7.22)=,23,27,33,42,57,83,133,240,523,1070
(11.00;8.11)=,23,26,32,40,52,73,112,190,381,678
(11.00;9.00)=,22,25,30,36,46,61,86,130,205,188
 01/11 14:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,15,16,18,21,24,30,38,51,70,54
(11.00;1.89)=,16,18,20,24,30,39,56,89,168,280
(11.00;2.78)=,17,19,22,27,36,50,77,138,310,713
(11.00;3.67)=,18,20,24,31,41,60,96,179,409,882
(11.00;4.56)=,18,21,26,33,45,67,109,204,454,909
(11.00;5.44)=,19,22,27,35,48,71,116,214,468,912
(11.00;6.33)=,19,22,27,35,48,71,114,210,459,904
(11.00;7.22)=,19,22,27,34,46,66,105,190,411,843
(11.00;8.11)=,19,21,26,32,42,58,89,150,298,528
(11.00;9.00)=,18,20,24,29,37,49,68,102,161,146
 01/11 15:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,11,12,13,15,18,22,29,39,54,43
(11.00;1.89)=,12,13,15,18,22,29,41,66,125,209
(11.00;2.78)=,12,14,16,20,26,36,56,100,222,505
(11.00;3.67)=,13,15,18,22,30,43,69,128,290,617
(11.00;4.56)=,13,15,19,24,32,48,78,145,319,635
(11.00;5.44)=,14,16,19,25,34,50,82,151,328,637
(11.00;6.33)=,14,16,19,25,34,50,80,147,319,631
(11.00;7.22)=,14,16,19,24,32,47,73,131,284,583
(11.00;8.11)=,13,15,18,22,29,41,61,103,203,356
(11.00;9.00)=,13,14,17,20,26,34,47,70,109,98
 01/11 16:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,6,7,7,9,10,13,17,23,32,26
(11.00;1.89)=,6,7,8,10,12,17,24,38,72,122
(11.00;2.78)=,7,8,9,11,15,21,32,56,125,279
(11.00;3.67)=,7,8,10,12,17,24,38,71,159,335
(11.00;4.56)=,7,9,10,13,18,27,43,79,174,344
(11.00;5.44)=,7,9,11,14,19,28,45,82,178,345
(11.00;6.33)=,7,9,11,14,18,27,43,79,172,341
(11.00;7.22)=,7,9,10,13,17,25,39,70,151,311
(11.00;8.11)=,7,8,10,12,16,22,33,54,106,184
(11.00;9.00)=,7,8,9,11,14,18,25,36,56,49
 01/11 17:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,1,1,1,1,1,2,2,3,5,4
(11.00;1.89)=,1,1,1,1,2,2,3,5,11,19
(11.00;2.78)=,1,1,1,2,2,3,4,8,18,42
(11.00;3.67)=,1,1,1,2,2,3,5,10,23,49
(11.00;4.56)=,1,1,1,2,2,4,6,11,25,50
(11.00;5.44)=,1,1,1,2,2,4,6,11,25,50
(11.00;6.33)=,1,1,1,2,2,4,6,11,24,50
(11.00;7.22)=,1,1,1,2,2,3,5,10,21,45
(11.00;8.11)=,1,1,1,2,2,3,4,7,14,26
(11.00;9.00)=,1,1,1,1,2,2,3,5,7,6
Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/12 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,4,4,5,5,6,7,9,11,14,11
(11.00;1.89)=,4,5,5,6,8,10,13,20,34,52
(11.00;2.78)=,5,5,6,7,10,14,20,34,73,211
(11.00;3.67)=,5,6,7,9,12,18,28,52,162,251
(11.00;4.56)=,5,6,8,11,15,23,87,116,175,255
(11.00;5.44)=,6,7,9,12,17,78,92,121,178,255
(11.00;6.33)=,6,8,10,13,70,80,93,121,176,254
(11.00;7.22)=,7,8,61,65,70,79,91,116,167,242
(11.00;8.11)=,7,9,61,65,69,77,87,107,143,182
(11.00;9.00)=,7,8,61,64,68,73,80,91,102,29
 01/12 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,19,20,22,24,27,32,37,46,56,42
(11.00;1.89)=,20,22,24,28,33,41,53,78,129,192
(11.00;2.78)=,22,24,27,32,40,54,77,130,269,964
(11.00;3.67)=,23,26,30,37,48,69,105,193,778,1695
(11.00;4.56)=,25,28,33,42,57,85,496,605,1389,1715
(11.00;5.44)=,26,30,37,47,65,461,514,627,1404,1716
(11.00;6.33)=,27,32,39,51,433,467,520,628,1399,1711
(11.00;7.22)=,28,33,403,415,434,466,514,613,1366,1673
(11.00;8.11)=,29,34,403,415,432,459,499,577,1277,1454
(11.00;9.00)=,29,34,402,412,426,447,475,522,1126,688
 01/12 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,7,8,9,10,12,15,19,26,37,28
(11.00;1.89)=,8,9,10,12,15,19,28,45,87,149
(11.00;2.78)=,8,9,11,13,17,24,38,68,155,358
(11.00;3.67)=,9,10,12,15,20,29,47,87,202,654
(11.00;4.56)=,9,10,12,16,22,32,53,99,407,624
(11.00;5.44)=,9,11,13,16,23,33,55,103,411,624
(11.00;6.33)=,9,11,13,17,22,33,54,100,404,620
(11.00;7.22)=,9,11,13,16,21,31,49,89,379,587
(11.00;8.11)=,9,10,12,15,19,27,41,69,321,422
(11.00;9.00)=,9,10,11,14,17,22,31,46,256,242
