Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/01 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
 01/01 15:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,5,5,6,6,8,10,13,19,28,23
(11.00;1.89)=,5,5,6,7,9,12,19,31,63,114
(11.00;2.78)=,5,6,7,8,11,15,24,45,104,243
(11.00;3.67)=,5,6,7,9,12,17,29,54,128,279
(11.00;4.56)=,5,6,7,9,13,19,31,59,136,284
(11.00;5.44)=,5,6,7,9,13,19,32,60,137,284
(11.00;6.33)=,5,6,7,9,12,18,30,57,132,281
(11.00;7.22)=,5,6,7,9,12,16,27,49,112,253
(11.00;8.11)=,5,6,7,8,10,14,21,36,73,134
(11.00;9.00)=,5,5,6,7,9,11,16,23,35,30
 01/01 16:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,3,4,4,5,6,7,10,13,19,16
(11.00;1.89)=,3,4,4,5,7,9,13,22,43,75
(11.00;2.78)=,4,4,5,6,8,11,17,31,71,160
(11.00;3.67)=,4,4,5,7,9,13,21,38,87,186
(11.00;4.56)=,4,4,5,7,9,14,23,42,94,189
(11.00;5.44)=,4,4,5,7,10,14,23,43,95,190
(11.00;6.33)=,4,4,5,7,9,14,22,41,91,187
(11.00;7.22)=,4,4,5,6,9,12,19,35,78,168
(11.00;8.11)=,4,4,5,6,8,10,16,26,52,91
(11.00;9.00)=,3,4,4,5,7,8,12,17,25,22
 01/01 17:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,1,1,2,2,2,3,4,5,7,5
(11.00;1.89)=,1,1,2,2,3,4,6,9,15,22
(11.00;2.78)=,1,2,2,2,3,5,7,12,22,41
(11.00;3.67)=,1,2,2,3,4,6,8,14,27,47
(11.00;4.56)=,1,2,2,3,4,6,9,15,28,48
(11.00;5.44)=,1,2,2,3,4,6,9,15,28,48
(11.00;6.33)=,1,2,2,3,4,5,8,14,27,47
(11.00;7.22)=,1,1,2,2,3,5,7,11,22,41
(11.00;8.11)=,1,1,2,2,3,4,5,8,14,21
(11.00;9.00)=,1,1,1,2,2,3,4,5,7,6
Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/02 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,4,5,5,6,7,9,10,13,17,12
(11.00;1.89)=,4,5,6,7,9,12,15,23,39,56
(11.00;2.78)=,5,6,7,8,11,15,22,38,77,204
(11.00;3.67)=,5,6,8,10,13,20,30,56,158,241
(11.00;4.56)=,6,7,8,11,16,25,84,113,171,246
(11.00;5.44)=,6,7,9,13,18,74,88,117,174,246
(11.00;6.33)=,6,8,10,14,65,75,88,116,171,244
(11.00;7.22)=,7,8,56,59,65,74,86,111,160,231
(11.00;8.11)=,7,8,56,59,64,71,81,100,135,170
(11.00;9.00)=,7,8,55,58,62,68,74,85,94,28
 01/02 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,19,20,22,24,27,32,38,47,58,44
(11.00;1.89)=,20,22,24,28,33,41,54,80,135,203
(11.00;2.78)=,21,24,27,32,40,54,78,132,277,954
(11.00;3.67)=,23,26,30,37,48,69,105,193,754,1646
(11.00;4.56)=,24,28,33,42,57,84,468,577,1329,1666
(11.00;5.44)=,25,30,36,46,64,433,486,597,1344,1667
(11.00;6.33)=,27,31,38,50,405,438,490,598,1338,1662
(11.00;7.22)=,27,32,376,387,406,437,484,581,1303,1621
(11.00;8.11)=,28,33,376,386,403,429,469,545,1209,1389
(11.00;9.00)=,28,33,375,384,397,417,445,490,1058,651
 01/02 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,8,9,10,12,14,17,23,31,43,33
(11.00;1.89)=,9,10,11,14,17,23,33,53,103,177
(11.00;2.78)=,9,11,13,15,20,28,44,80,183,422
(11.00;3.67)=,10,11,14,17,23,33,55,102,237,704
(11.00;4.56)=,10,12,14,18,25,37,61,115,425,680
(11.00;5.44)=,10,12,15,19,26,39,64,119,430,681
(11.00;6.33)=,10,12,15,19,26,38,62,115,422,676
(11.00;7.22)=,10,12,14,18,24,35,56,102,391,636
(11.00;8.11)=,10,12,14,17,22,30,46,78,322,441
(11.00;9.00)=,10,11,13,15,19,25,35,51,246,231
 01/02 11:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,10,11,13,15,17,22,28,38,52,39
(11.00;1.89)=,11,12,14,17,21,28,41,65,125,210
(11.00;2.78)=,12,13,16,19,25,36,55,100,227,526
(11.00;3.67)=,12,14,17,22,29,42,69,129,298,763
(11.00;4.56)=,13,15,18,23,32,47,78,147,330,666
(11.00;5.44)=,13,15,19,24,33,50,82,154,339,668
(11.00;6.33)=,13,15,19,24,33,49,81,150,332,662
(11.00;7.22)=,13,15,18,24,32,46,74,135,296,616
(11.00;8.11)=,13,15,18,22,29,41,62,106,212,380
(11.00;9.00)=,12,14,16,20,25,34,48,72,114,103
 01/02 12:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,20,22,25,28,34,41,52,68,90,68
(11.00;1.89)=,21,24,28,33,41,54,75,116,207,326
(11.00;2.78)=,23,26,30,37,49,68,102,178,383,864
(11.00;3.67)=,24,28,33,42,56,82,128,235,523,1129
(11.00;4.56)=,25,29,35,45,62,92,148,273,596,1181
(11.00;5.44)=,26,30,37,48,66,99,158,292,623,1188
